Date,No. Agent,Agent Name,Hold,Tea Break,Lunch Break,Manual_dial_Break,Auxillary_Break,Total
2020-04-01,1001,1001,00:00:00,00:28:05,00:40:00,07:19:49,00:00:00,08:27:54
2020-04-01,1002,1002,00:00:00,00:01:21,00:00:00,07:52:16,00:00:00,07:53:37
2020-04-01,1003,1003,00:00:00,00:00:00,00:36:06,02:58:20,00:03:11,03:37:37
2020-04-01,1004,1004,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1005,1005,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1006,1006,00:00:00,00:35:16,00:00:00,02:39:16,00:00:00,03:14:32
2020-04-01,1007,1007,00:00:00,00:13:12,00:00:00,05:00:48,00:14:45,05:28:45
2020-04-01,1008,1008,00:00:00,00:00:00,00:00:00,04:43:18,00:00:00,04:43:18
2020-04-01,1009,1009,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1010,1010,00:00:00,00:00:00,00:00:00,04:31:08,00:00:00,04:31:08
2020-04-01,1011,1011,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1012,1012,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1013,1013,00:00:00,00:00:00,00:00:00,07:30:04,00:00:00,07:30:04
2020-04-01,1014,1014,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1015,1015,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1016,1016,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1017,1017,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1018,1018,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1019,1019,00:00:00,00:00:00,00:22:48,00:00:00,00:00:00,00:22:48
2020-04-01,1020,1020,00:00:00,00:31:34,00:00:00,00:00:00,00:22:19,00:53:53
2020-04-01,1021,1021,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1022,1022,00:00:00,00:00:00,00:00:00,00:22:20,00:10:25,00:32:45
2020-04-01,1023,1023,00:00:00,00:00:00,00:28:22,02:46:57,00:00:00,03:15:19
2020-04-01,1024,1024,00:00:00,00:00:00,00:08:29,03:35:56,00:13:41,03:58:06
2020-04-01,1025,1025,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1026,1026,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1027,1027,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1028,1028,00:00:00,00:12:51,00:28:21,00:00:00,00:00:00,00:41:12
2020-04-01,1029,1029,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1030,1030,00:00:00,00:45:37,00:30:45,00:20:04,00:08:47,01:45:13
2020-04-01,1031,1031,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1032,1032,00:00:00,00:35:20,00:29:42,01:29:20,00:00:00,02:34:22
2020-04-01,1033,1033,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1034,1034,00:00:00,00:00:00,00:47:38,00:00:00,00:00:00,00:47:38
2020-04-01,1035,1035,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1050,1050,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,9999,9999,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,4001,4001,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,4002,4002,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,4003,4003,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,4004,4004,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2001,2001,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2002,2002,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2003,2003,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2004,2004,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2005,2005,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2006,2006,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2007,2007,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2008,2008,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2009,2009,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,8888,8888,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1001,1001,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1002,1002,00:00:00,01:46:36,00:00:00,04:16:17,00:00:00,06:02:53
2020-04-02,1003,1003,00:00:00,00:00:00,00:00:00,04:34:00,00:00:00,04:34:00
2020-04-02,1004,1004,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1005,1005,00:00:00,00:24:02,00:00:00,00:35:05,00:00:00,00:59:07
2020-04-02,1006,1006,00:00:00,00:23:12,00:19:12,02:41:06,00:00:00,03:23:30
2020-04-02,1007,1007,00:00:00,00:00:00,00:35:25,06:25:02,00:00:00,07:00:27
2020-04-02,1008,1008,00:00:00,00:00:00,00:00:00,00:57:40,00:00:00,00:57:40
2020-04-02,1009,1009,00:00:00,00:00:00,00:00:00,07:14:39,00:21:02,07:35:41
2020-04-02,1010,1010,00:00:00,00:00:00,00:00:00,04:46:11,00:00:00,04:46:11
2020-04-02,1011,1011,00:00:00,00:00:00,00:00:00,01:25:11,00:00:00,01:25:11
2020-04-02,1012,1012,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1013,1013,00:00:00,00:00:00,00:00:00,04:44:17,00:00:00,04:44:17
2020-04-02,1014,1014,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1015,1015,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1016,1016,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1017,1017,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1018,1018,00:00:00,00:00:00,00:00:00,06:16:33,00:00:00,06:16:33
2020-04-02,1019,1019,00:00:00,00:03:08,00:00:00,01:19:11,00:00:00,01:22:19
2020-04-02,1020,1020,00:00:00,00:15:47,01:01:32,00:00:00,00:12:30,01:29:49
2020-04-02,1021,1021,00:00:00,00:21:08,00:29:18,00:00:00,00:08:34,00:59:00
2020-04-02,1022,1022,00:00:00,00:00:06,00:30:44,01:11:37,00:05:24,01:47:51
2020-04-02,1023,1023,00:00:00,00:00:00,00:52:07,01:36:11,00:00:00,02:28:18
2020-04-02,1024,1024,00:00:00,00:37:14,00:34:09,02:41:37,00:19:18,04:12:18
2020-04-02,1025,1025,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1026,1026,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1027,1027,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1028,1028,00:00:00,00:30:37,00:42:14,00:00:00,00:00:00,01:12:51
2020-04-02,1029,1029,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1030,1030,00:00:00,00:50:39,00:33:15,00:12:02,00:30:56,02:06:52
2020-04-02,1031,1031,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1032,1032,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1033,1033,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1034,1034,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1035,1035,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,1050,1050,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,9999,9999,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,4001,4001,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,4002,4002,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,4003,4003,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,4004,4004,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,2001,2001,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,2002,2002,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,2003,2003,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,2004,2004,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,2005,2005,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,2006,2006,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,2007,2007,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,2008,2008,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,2009,2009,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-02,8888,8888,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1001,1001,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1002,1002,00:00:00,03:01:14,00:00:00,00:04:47,00:00:00,03:06:01
2020-04-03,1003,1003,00:00:00,00:00:00,00:24:08,02:39:10,00:07:33,03:10:51
2020-04-03,1004,1004,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1005,1005,00:00:00,00:00:00,00:19:21,00:38:32,00:04:46,01:02:39
2020-04-03,1006,1006,00:00:00,01:28:19,00:00:00,02:00:28,00:00:00,03:28:47
2020-04-03,1007,1007,00:00:00,00:04:51,01:16:00,05:55:43,00:00:00,07:16:34
2020-04-03,1008,1008,00:00:00,00:00:00,00:00:00,01:49:29,00:00:00,01:49:29
2020-04-03,1009,1009,00:00:00,00:00:00,00:00:00,05:57:36,01:11:23,07:08:59
2020-04-03,1010,1010,00:00:00,00:00:00,00:54:13,03:18:15,00:00:00,04:12:28
2020-04-03,1011,1011,00:00:00,00:00:00,00:00:00,01:09:06,00:00:00,01:09:06
2020-04-03,1012,1012,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1013,1013,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1014,1014,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1015,1015,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1016,1016,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1017,1017,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1018,1018,00:00:00,00:00:00,00:00:00,04:37:17,00:00:00,04:37:17
2020-04-03,1019,1019,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1020,1020,00:00:00,00:17:03,00:36:58,00:00:00,00:21:44,01:15:45
2020-04-03,1021,1021,00:00:00,00:29:07,00:31:34,00:36:46,00:00:00,01:37:27
2020-04-03,1022,1022,00:00:00,00:00:00,00:29:35,00:49:02,00:13:40,01:32:17
2020-04-03,1023,1023,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1024,1024,00:00:00,00:13:05,00:37:20,02:58:19,00:11:27,04:00:11
2020-04-03,1025,1025,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1026,1026,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1027,1027,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1028,1028,00:00:00,00:00:00,00:33:53,00:00:00,00:00:00,00:33:53
2020-04-03,1029,1029,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1030,1030,00:00:00,00:39:48,00:35:45,01:12:22,00:39:47,03:07:42
2020-04-03,1031,1031,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1032,1032,00:00:00,00:59:37,00:29:03,02:41:28,00:00:00,04:10:08
2020-04-03,1033,1033,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1034,1034,00:00:00,00:02:04,00:00:00,00:00:00,00:00:00,00:02:04
2020-04-03,1035,1035,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,1050,1050,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,9999,9999,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,4001,4001,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,4002,4002,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,4003,4003,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,4004,4004,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,2001,2001,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,2002,2002,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,2003,2003,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,2004,2004,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,2005,2005,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,2006,2006,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,2007,2007,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,2008,2008,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,2009,2009,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-03,8888,8888,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
